9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
1,Albena DENKOVA / Maxim STAVISKI,BUL,0,39.19,19.56,19.63,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,1S1,,2.0,False,0.8,2,2,1,2,1,1,2,2,2,,2.8
2,1S2,,2.6,False,0.7,1,1,2,2,1,1,2,1,2,,3.3
3,1S3,,1.6,False,0.3,1,1,1,1,1,0,1,2,1,,1.9
4,2S1,,3.1,False,0.86,2,1,1,1,1,1,2,1,2,,3.96
5,2S2,,3.6,False,0.7,1,1,2,1,1,1,1,1,2,,4.3
6,2S3,,2.6,False,0.7,1,1,1,1,1,0,1,1,1,,3.3
,,,15.5,,,,,,,,,,,,,19.56
,Program Components,,,,Factor
,Skating Skills  ,,,,0.75,8.0,8.0,8.25,8.25,7.75,6.75,8.0,8.25,7.25,,8.05
,Timing  ,,,,0.75,7.75,7.75,7.75,7.75,7.5,6.5,7.5,7.75,7.25,,7.65
,Performance / Execution  ,,,,0.5,8.0,8.0,8.0,8.0,7.75,6.75,7.75,8.0,7.5,,7.9
,Interpretation  ,,,,0.5,8.25,8.25,8.0,7.75,7.75,6.5,7.75,7.75,7.0,,7.8
,,,,,,,,,,,,,,,,19.63
